parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
f,10.0,0.6,120.0,0.38857142857142857,0.09122200038506394,0.07079964661397853,0.13090095,0.061909705,0,0
D,10.0,0.6,120.0,0.45,0.3322477388731812,0.29056574932977697,0.6171637,0.4743585,0,0
Dstar,10.0,0.6,120.0,0.45,2314.938705893897,119.8390983188049,43.11834,16.004805,1,1
f,10.0,0.6,120.0,0.45,0.09122200038506394,0.07081557502387292,0.12566297,0.065031,0,0
D,10.0,0.8571428571428571,10.0,0.02,0.4555431636220939,0.2610923685721425,0.23048526,0.110764116,1,1
Dstar,10.0,0.8571428571428571,10.0,0.02,216.9480171374112,9.98939361805669,35.649933,4.2408094,1,0
f,10.0,0.8571428571428571,10.0,0.02,0.30502587965546013,0.13315744286426903,0.10987413,0.023323938,1,1
D,10.0,0.8571428571428571,10.0,0.08142857142857143,0.4860071698985317,0.28751036669233193,0.2522924,0.120910004,1,1
Dstar,10.0,0.8571428571428571,10.0,0.08142857142857143,53.28547789339918,9.828421959150399,34.870003,3.848558,1,0
f,10.0,0.8571428571428571,10.0,0.08142857142857143,0.30502587965545974,0.14191009329071788,0.110918835,0.020196537,1,1
D,10.0,0.8571428571428571,10.0,0.14285714285714285,0.5208376837412602,0.3264621608723477,0.28675443,0.14300317,1,1
Dstar,10.0,0.8571428571428571,10.0,0.14285714285714285,30.372722399237567,9.498424636372883,32.77898,3.9839463,0,0
f,10.0,0.8571428571428571,10.0,0.14285714285714285,0.30502587965545996,0.15796138452388744,0.117686145,0.019103745,1,1
D,10.0,0.8571428571428571,10.0,0.20428571428571426,0.5610459788954343,0.3760140149937783,0.308341,0.20521769,1,1
Dstar,10.0,0.8571428571428571,10.0,0.20428571428571426,21.239666013452876,9.04738877884202,33.051334,6.5993075,0,0
f,10.0,0.8571428571428571,10.0,0.20428571428571426,0.30502587965546063,0.176818337993673,0.118783586,0.028791241,1,1
D,10.0,0.8571428571428571,10.0,0.26571428571428574,0.6079817319936887,0.43444272944822093,0.35063398,0.20812464,1,1
Dstar,10.0,0.8571428571428571,10.0,0.26571428571428574,16.32942064475137,8.527955875185818,33.373615,4.3622537,0,0
f,10.0,0.8571428571428571,10.0,0.26571428571428574,0.3050258796554598,0.19533184881272903,0.12011984,0.021054076,1,1
D,10.0,0.8571428571428571,10.0,0.3271428571428572,0.6634874952117974,0.501344505995735,0.35954902,0.24896358,1,1
Dstar,10.0,0.8571428571428571,10.0,0.3271428571428572,13.263197554252221,7.984773875067085,35.355732,6.1260915,0,0
f,10.0,0.8571428571428571,10.0,0.3271428571428572,0.30502587965546035,0.21195221338907566,0.11380859,0.031134494,1,1
D,10.0,0.8571428571428571,10.0,0.38857142857142857,0.7301462856185913,0.577952486559027,0.35020426,0.29670933,1,1
Dstar,10.0,0.8571428571428571,10.0,0.38857142857142857,11.166442058543243,7.449437780972612,32.246532,6.230537,0,0
f,10.0,0.8571428571428571,10.0,0.38857142857142857,0.30502587965546085,0.22618451170892495,0.10696435,0.029618662,1,1
D,10.0,0.8571428571428571,10.0,0.45,0.8116950915448229,0.6672659993371872,0.42619818,0.26332486,1,1
